time,H986,H1222,H1827,H3434
427342501.0000,31.27199218,31.65078698,31.97170316,32.17003852
428657401.0000,31.27199202,31.65078681,31.97170300,32.17003836
429972301.0000,31.27199182,31.65078660,31.97170278,32.17003814
431287201.0000,31.27199166,31.65078643,31.97170262,32.17003798
432602101.0000,31.27199146,31.65078622,31.97170240,32.17003776
433917001.0000,31.27199131,31.65078606,31.97170224,32.17003760
435231901.0000,31.27199111,31.65078585,31.97170202,32.17003739
436546801.0000,31.27199095,31.65078569,31.97170186,32.17003723
437861701.0000,31.27199076,31.65078548,31.97170165,32.17003702
439176601.0000,31.27199060,31.65078532,31.97170148,32.17003686
440491501.0000,31.27199041,31.65078512,31.97170127,32.17003665
441806401.0000,31.27199025,31.65078495,31.97170111,32.17003649
443121301.0000,31.27199006,31.65078475,31.97170090,32.17003628
444436201.0000,31.27198991,31.65078459,31.97170074,32.17003612
445751101.0000,31.27198971,31.65078439,31.97170053,32.17003592
447066001.0000,31.27198956,31.65078423,31.97170037,32.17003576
448380901.0000,31.27198937,31.65078403,31.97170016,32.17003555
449695801.0000,31.27198922,31.65078387,31.97170001,32.17003540
451010701.0000,31.27198903,31.65078367,31.97169980,32.17003519
452325601.0000,31.27198888,31.65078351,31.97169964,32.17003504
453640501.0000,31.27198869,31.65078331,31.97169944,32.17003483
454955401.0000,31.27198854,31.65078315,31.97169928,32.17003468
456270301.0000,31.27198835,31.65078295,31.97169908,32.17003448
457585201.0000,31.27198820,31.65078280,31.97169892,32.17003432
458900101.0000,31.27198802,31.65078260,31.97169872,32.17003412
460215001.0000,31.27198787,31.65078245,31.97169856,32.17003397
461529901.0000,31.27198768,31.65078225,31.97169836,32.17003377
462844801.0000,31.27198753,31.65078210,31.97169821,32.17003362
464159701.0000,31.27198735,31.65078190,31.97169801,32.17003342
465474601.0000,31.27198720,31.65078175,31.97169785,32.17003327
466789501.0000,31.27198702,31.65078156,31.97169765,32.17003307
468104401.0000,31.27198687,31.65078140,31.97169750,32.17003292
469419301.0000,31.27198669,31.65078121,31.97169730,32.17003272
470734201.0000,31.27198655,31.65078106,31.97169715,32.17003257
472049101.0000,31.27198637,31.65078087,31.97169695,32.17003238
473364001.0000,31.27198622,31.65078072,31.97169680,32.17003223
474678901.0000,31.27198604,31.65078053,31.97169661,32.17003204
475993801.0000,31.27198590,31.65078038,31.97169646,32.17003189
477308701.0000,31.27198572,31.65078019,31.97169626,32.17003169
478623601.0000,31.27198557,31.65078004,31.97169612,32.17003155
479938501.0000,31.27198540,31.65077985,31.97169592,32.17003136
481253401.0000,31.27198525,31.65077970,31.97169577,32.17003121
482568301.0000,31.27198508,31.65077952,31.97169558,32.17003102
483883201.0000,31.27198494,31.65077937,31.97169543,32.17003087
485198101.0000,31.27198476,31.65077919,31.97169524,32.17003068
486513001.0000,31.27198462,31.65077904,31.97169510,32.17003054
487827901.0000,31.27198445,31.65077885,31.97169491,32.17003035
489142801.0000,31.27198431,31.65077871,31.97169476,32.17003021
490457701.0000,31.27198413,31.65077853,31.97169457,32.17003002
491772601.0000,31.27198399,31.65077838,31.97169443,32.17002988
493087501.0000,31.27198382,31.65077820,31.97169424,32.17002969
494402401.0000,31.27198368,31.65077805,31.97169410,32.17002955
495717301.0000,31.27198351,31.65077787,31.97169391,32.17002936
497032201.0000,31.27198337,31.65077773,31.97169377,32.17002922
498347101.0000,31.27198320,31.65077755,31.97169358,32.17002904
499662001.0000,31.27198307,31.65077741,31.97169344,32.17002890
500976901.0000,31.27198290,31.65077723,31.97169325,32.17002871
502291801.0000,31.27198276,31.65077709,31.97169311,32.17002857
503606701.0000,31.27198259,31.65077691,31.97169293,32.17002839
504921601.0000,31.27198246,31.65077677,31.97169279,32.17002825
506236501.0000,31.27198229,31.65077659,31.97169260,32.17002807
507551401.0000,31.27198216,31.65077645,31.97169247,32.17002793
508866301.0000,31.27198199,31.65077627,31.97169228,32.17002775
510181201.0000,31.27198185,31.65077614,31.97169214,32.17002762
511496101.0000,31.27198169,31.65077596,31.97169196,32.17002744
512811001.0000,31.27198156,31.65077582,31.97169183,32.17002730
514125901.0000,31.27198139,31.65077565,31.97169165,32.17002712
515440801.0000,31.27198126,31.65077551,31.97169151,32.17002699
516755701.0000,31.27198110,31.65077534,31.97169133,32.17002681
