time,T1038,T2571,T4587,T6376,T7640,T9105,T9625,T9989,T10169
280073701.0000,11.00003640,11.07611383,15.68868358,18.73256356,16.79566259,16.84403876,16.00009539,15.99999969,15.99999876
281388601.0000,11.00001079,11.02691195,14.41771703,19.03686125,16.82895263,16.84398519,16.00010491,15.99999968,15.99999875
282703501.0000,11.00000591,11.00943429,13.37043797,19.19440578,16.86601400,16.84390654,16.00011522,15.99999968,15.99999874
284018401.0000,11.00000512,11.00336454,12.57434888,19.18335175,16.89840027,16.84380462,16.00012640,15.99999968,15.99999873
285333301.0000,18.59797974,12.77517061,12.03725431,19.10142494,16.92321102,16.84368122,16.00013849,15.99999968,15.99999872
286648201.0000,20.61191518,15.64902012,11.82820335,18.89905292,16.93908523,16.84353810,16.00015157,15.99999967,15.99999871
287963101.0000,20.94502423,18.13775655,11.98286679,18.50395440,16.94479452,16.84337702,16.00016569,15.99999967,15.99999869
289278001.0000,20.99221688,19.68030704,12.60383208,17.94339486,16.94227954,16.84319968,16.00018094,15.99999967,15.99999868
290592901.0000,20.99876913,20.45401966,13.65548086,17.27914386,16.93735379,16.84301010,16.00019737,15.99999967,15.99999867
291907801.0000,20.99972227,20.79064890,14.96954401,16.57233455,16.92835254,16.84281289,16.00021508,15.99999966,15.99999866
293222701.0000,20.99987132,20.92358677,16.34175824,15.88251603,16.91396590,16.84260846,16.00023413,15.99999966,15.99999865
294537601.0000,20.99989634,20.97278851,17.59899120,15.27109308,16.89380238,16.84239732,16.00025462,15.99999966,15.99999864
